pageref,Path,Domain,Method,Status,Type,mimetype,Timestamp,Time,Time-formatted,Size,Size-formatted,IsCached,Age,Age-formatted,DNS,DNS-formatted,Connect,Connect-formatted,SSL,SSL-formatted,Send,Send-formatted,Wait,Wait-formatted,Receive,Receive-formatted
"page_1","/","www.clearstreet.io","GET","304","Doc","text/html","2025-01-27 10:51:32.930","147","146 ms","0","0 B","","","","","","","","","","0.85","0 ms","66.86","66 ms","22.68","22 ms"
"page_1","/_nuxt/entry.Cq66exfx.css","www.clearstreet.io","GET","200","CSS","text/css","2025-01-27 10:51:33.377","0","0 ms","0","0 B","true","334926","5 min 34 s","","","","","","","0.00","0 ms","0.33","0 ms","0.05","0 ms"
"page_1","/_nuxt/default.D0dno2i9.css","www.clearstreet.io","GET","200","CSS","text/css","2025-01-27 10:51:33.377","0","0 ms","379","379.0 B","true","334926","5 min 34 s","","","","","","","0.00","0 ms","0.41","0 ms","0.05","0 ms"
"page_1","/_nuxt/index.DwIHFvEi.css","www.clearstreet.io","GET","200","CSS","text/css","2025-01-27 10:51:33.378","0","0 ms","0","0 B","true","334926","5 min 34 s","","","","","","","0.00","0 ms","0.26","0 ms","0.05","0 ms"
"page_1","/_nuxt/ScrollDownButton.CTqNE-KN.css","www.clearstreet.io","GET","200","CSS","text/css","2025-01-27 10:51:33.379","5","5 ms","216","216.0 B","true","334926","5 min 34 s","","","","","","","0.00","0 ms","5.26","5 ms","0.05","0 ms"
"page_1","/_nuxt/ModalCard.Cmx6Blcx.css","www.clearstreet.io","GET","200","CSS","text/css","2025-01-27 10:51:33.384","1","1 ms","0","0 B","true","334926","5 min 34 s","","","","","","","0.00","0 ms","0.97","0 ms","0.04","0 ms"
"page_1","/_nuxt/ContentModal.CRbdyd6H.css","www.clearstreet.io","GET","200","CSS","text/css","2025-01-27 10:51:33.386","0","0 ms","0","0 B","true","334926","5 min 34 s","","","","","","","0.00","0 ms","0.20","0 ms","0.04","0 ms"
"page_1","/_nuxt/NewsCard.DPXhvBaC.css","www.clearstreet.io","GET","200","CSS","text/css","2025-01-27 10:51:33.387","5","5 ms","0","0 B","true","334926","5 min 34 s","","","","","","","0.00","0 ms","5.28","5 ms","0.18","0 ms"
"page_1","/_nuxt/PressReleaseCard.ijpGHWxy.css","www.clearstreet.io","GET","200","CSS","text/css","2025-01-27 10:51:33.395","1","0 ms","0","0 B","true","334926","5 min 34 s","","","","","","","0.00","0 ms","0.81","0 ms","0.06","0 ms"
"page_1","/_nuxt/GetInTouch.CuIH49mM.css","www.clearstreet.io","GET","200","CSS","text/css","2025-01-27 10:51:33.397","1","0 ms","0","0 B","true","334926","5 min 34 s","","","","","","","0.00","0 ms","0.73","0 ms","0.06","0 ms"
"page_1","/_nuxt/Footer.DYWH6zMw.css","www.clearstreet.io","GET","200","CSS","text/css","2025-01-27 10:51:33.398","1","0 ms","0","0 B","true","334926","5 min 34 s","","","","","","","0.00","0 ms","0.58","0 ms","0.05","0 ms"
"page_1","/_payload.json","www.clearstreet.io","GET","304","Fetch/XHR","application/json","2025-01-27 10:51:33.399","161","161 ms","0","0 B","","","","","","","","","","0.74","0 ms","149.98","149 ms","4.02","4 ms"
"page_1","/_nuxt/JACn959u.js","www.clearstreet.io","GET","200","JS","application/javascript","2025-01-27 10:51:33.583","1","0 ms","0","0 B","true","334926","5 min 34 s","","","","","","","0.00","0 ms","0.64","0 ms","0.08","0 ms"
"page_1","/_nuxt/CyFJmkkt.js","www.clearstreet.io","GET","200","JS","application/javascript","2025-01-27 10:51:33.586","2","1 ms","0","0 B","true","334926","5 min 34 s","","","","","","","0.00","0 ms","0.55","0 ms","1.30","1 ms"
